meta_num,secretaria,tipo,MC,pdm24,fis24,ef24,avfis24,pdm25,fis25,ef25,avfis25,pdm26,fis26,ef26,avfis26,pdm27,fis27,ef27,avfis27,avance_fisico,cumplimiento,aprop24_M,aprop25_M,aprop26_M,aprop27_M
197,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,Acumulativo,800.0,1.0,1.0,100.0%,0.0%,500.0,500.0,100.0%,63.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,63.0%,50.0%,1.0,82.0,141.2,85.8
198,FOMENTO,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,24.0,28.0,28.0,25.0
199,FOMENTO,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,17.0,31.0,31.9,20.0
200,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,No acumulativo,1.0,,,,,,,,,,,,,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,1.0
201,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,Acumulativo,250.0,34.0,1.0,3.0%,0.0%,,,,,108.0,0.0,0.0%,0.0%,108.0,0.0,0.0%,0.0%,0.0%,1.0%,36.4,0,162.0,162.0
202,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,40.0,40.0,3.0,8.0%,8.0%,,,,,,,,,,0.0,,,8.0%,8.0%,319.1,0,0,0
203,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,3.0,3.0,3.0,100.0%,25.0%,3.0,2.0,67.0%,17.0%,3.0,0.0,0.0%,0.0%,3.0,0.0,0.0%,0.0%,42.0%,42.0%,0,50.0,45.0,50.0
204,SECRETARÍA LOCAL DE SALUD,Acumulativo,2.0,,,,,,,,,1.0,,100.0%,50.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,0,0,0,0
205,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,Acumulativo,5.0,,,,,,,,,4.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,0
206,DIRECCION DE CULTURA,Acumulativo,5.0,,,,,,,,,3.0,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,0
207,SECRETARIA DE MOVILIDAD,Acumulativo,7.0,,,,,,,,,4.0,0.0,,,3.0,0.0,,,,,0,0,0,0
